Position,MAN City (Team 1),Inter Milan (Team 2),Team 1 (matches_played),Team 2 (matches_played),Team 1 (Mins Played),Team 2 (Mins Played,Team 1 (Goals),Team 2 (Goals),Team 1 (Assists),Team 2 (Assists),Team 1 (No. of attempts),Team 2 (No. of attempts),Team 1 (Attempts_onTarget),Team 2 (Attempts_onTarget),Team 1 (Tackles),Team 2 (Tackles),Team 1 (Tackles_won),Team 2 (Tackles_won),Team 1 (Balls Recovered),Team 2 (Balls Recovered),Team 1 (Number_of_saves),Team 2 (Number_of_saves),Team 1 (clean_sheets),Team 2 (clean_sheets),Team 1 (Top_speed (km/hr)),Team 2 (Top_speed (km/hr),Team 1 (passing accuracy),Team 2 (passing accuracy),Result
2,Aymeric Laporte,Danilo D'Ambrosio,4,5,292,150,0,0,1,0,0,2,0,1,2,3,0,2,13,12,0,0,0,0,32.5,30.6,92,70.8,0
2,Aymeric Laporte,Matteo Darmian,4,10,292,736,0,0,1,0,0,1,0,0,2,16,0,10,13,40,0,0,0,0,32.5,32.9,92,81.8,0
2,Aymeric Laporte,Milan Skriniar,4,8,292,536,0,0,1,0,0,1,0,0,2,8,0,3,13,22,0,0,0,0,32.5,31.2,92,87.38,0
2,Aymeric Laporte,Alessandro Bastoni,4,11,292,913,0,0,1,3,0,4,0,1,2,19,0,9,13,44,0,0,0,0,32.5,33.9,92,86.1,0
2,Sergio Gómez,Denzel Dumfries,5,11,307,810,0,1,1,0,7,10,2,5,3,10,1,5,14,19,0,0,0,0,33,34.71,92.16,68.64,1
2,Sergio Gómez,Stefan de Vrij,5,7,307,298,0,0,1,0,7,0,2,0,3,6,1,3,14,11,0,0,0,0,33,31,92.16,76.72,1
2,Sergio Gómez,Raoul Bellanova,5,2,307,104,0,0,1,0,7,0,2,0,3,2,1,1,14,5,0,0,0,0,33,35.5,92.16,72.5,1
2,Sergio Gómez,Francesco Acerbi,5,11,307,829,0,0,1,0,7,9,2,2,3,12,1,9,14,54,0,0,0,0,33,31.4,92.16,81,0
2,Sergio Gómez,Federico Dimarco,5,10,307,646,0,0,1,5,7,11,2,2,3,5,1,1,14,28,0,0,0,0,33,33.4,92.16,74.91,0
2,Sergio Gómez,Danilo D'Ambrosio,5,5,307,150,0,0,1,0,7,2,2,1,3,3,1,2,14,12,0,0,0,0,33,30.6,92.16,70.8,1
